"","GSM2882963","GSM2882964","GSM2882965","GSM2882966","GSM2882967","GSM2882968","GSM2882969","GSM2882970","GSM2882971","GSM2882972","GSM2882973","GSM2882974","GSM2882975","GSM2882976","GSM2882977","GSM2882978","GSM2882979","GSM2882980","GSM2882981","GSM2882982","GSM2882983","GSM2882984","GSM2882985","GSM2882986","GSM2882987","GSM2882988","GSM2882989","GSM2882990","GSM2882991","GSM2882992","GSM2882993","GSM2882995","GSM2882996","GSM2882997","GSM2882998","GSM2882999","GSM2883000","GSM2883001","GSM2883002","GSM2883003","GSM2883004","GSM2883005","GSM2883006","GSM2883007","GSM2883008","GSM2883009","GSM2883010","GSM2883011","GSM2883012","GSM2883013","GSM2883014","GSM2883015","GSM2883016","GSM2883017","GSM2883018","GSM2883019"
"ENSG00000155368",1,0,0,1,0,-1,-1,1,-1,-1,-1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,1,1,0,-1,-1,-1,-1,-1,-1,0,1,1,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000155380",1,1,1,0,-1,1,1,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0,-1,-1,0,0,0,1,1,0,0,1,0,0,-1,0,0,-1,-1,0,0,0,0,-1,0,1,0,0,1,1,1,0,-1,-1,-1,-1,-1
"ENSG00000155465",1,0,0,0,0,1,1,1,0,1,0,-1,-1,-1,-1,1,1,-1,0,-1,0,0,0,1,1,0,0,-1,1,1,-1,0,0,0,-1,-1,-1,-1,1,0,0,0,1,0,0,0,0,-1,-1,0,-1,0,0,0,0,1
"ENSG00000155561",0,0,-1,0,0,0,-1,1,0,0,-1,-1,-1,1,1,0,0,0,0,0,-1,0,-1,1,1,0,-1,-1,0,-1,0,1,1,0,1,1,0,0,0,0,-1,-1,0,1,1,0,0,0,0,0,-1,1,1,0,-1,1
"ENSG00000155660",0,0,0,0,0,0,-1,1,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,0,-1,0,0,-1,0,1,0,0,1,1,-1,-1,0,0,0,1,1,1,1
"ENSG00000155827",0,-1,-1,1,0,1,0,1,0,0,0,0,-1,0,0,1,0,1,0,0,-1,-1,-1,1,1,0,-1,-1,1,0,1,0,0,0,1,0,0,0,0,-1,-1,-1,-1,0,0,-1,-1,0,1,0,0,1,1,0,0,1
"ENSG00000155850",1,0,0,0,0,1,0,1,0,1,-1,-1,-1,0,-1,1,1,0,0,0,0,-1,-1,1,1,0,0,0,1,1,-1,-1,0,-1,0,0,0,-1,0,-1,-1,-1,-1,0,1,0,0,1,1,0,0,0,0,0,0,1
"ENSG00000155886",0,0,0,1,1,0,0,1,1,1,0,-1,-1,1,1,0,0,0,0,1,0,-1,-1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,0,0,0,0,0,1,-1,0,0,1,1,1,1,0,0,0,-1,0,0,0,-1,-1
"ENSG00000155893",0,0,-1,0,1,1,0,1,0,-1,0,0,0,1,1,-1,-1,-1,0,0,-1,0,-1,1,1,0,0,-1,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,-1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
"ENSG00000155897",-1,-1,-1,0,0,1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,1,-1,-1,0,-1,0,1,0,-1,0,-1,0,0,-1,1,1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,-1,0,-1,-1
"ENSG00000156006",0,-1,-1,1,-1,-1,-1,0,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,1,1,-1,-1,-1,-1,-1,0,-1,0,-1
"ENSG00000156096",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,1
"ENSG00000156110",1,1,0,0,0,1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1,1,0,0,0,0,1,1,0,0,-1,1,0,-1,0,1,0,0,0,0,-1,0,0,0,-1,-1,0,0,-1,-1,1,1,0,-1,1,1,0,0,1
"ENSG00000156136",1,0,-1,-1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,-1,-1,-1,1,1,0,0,0,0,-1,-1,-1,-1,-1,1,0,-1,0,-1,1,-1,0,0,1,1,1,0,0,1,0,-1,1,0,0,0,1
"ENSG00000156219",0,0,-1,1,0,-1,-1,-1,1,0,-1,0,0,-1,-1,0,0,1,1,0,0,0,0,-1,-1,0,0,-1,1,1,-1,0,1,0,1,1,0,0,0,0,0,-1,-1,1,1,0,0,1,1,0,0,0,1,0,0,-1
"ENSG00000156222",0,0,-1,0,0,0,0,1,0,0,0,0,0,1,1,-1,-1,-1,0,0,0,0,1,0,0,0,-1,0,-1,1,1,-1,1,-1,-1,-1,1,1,1,0,0,-1,-1,-1,-1,0,0,1,0,1,0,0,-1,1,0,-1
"ENSG00000156239",0,0,0,0,0,1,0,0,-1,1,0,-1,-1,-1,-1,1,1,0,0,-1,0,0,0,-1,-1,-1,0,-1,1,1,0,0,0,-1,1,1,1,1,0,-1,-1,-1,0,0,0,0,1,0,0,0,0,1,1,1,0,0
"ENSG00000156256",0,0,0,0,0,0,0,0,0,0,-1,-1,-1,1,1,0,0,0,1,-1,-1,0,-1,1,0,0,-1,-1,0,-1,1,-1,0,-1,1,1,0,0,-1,0,0,-1,0,1,1,0,0,1,1,0,0,1,1,0,-1,1
"ENSG00000156269",0,0,-1,1,1,-1,-1,1,0,1,0,-1,-1,-1,-1,1,1,0,0,0,0,0,-1,0,0,0,0,-1,1,1,-1,0,-1,-1,0,0,0,-1,-1,-1,-1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,1
"ENSG00000156411",1,0,1,0,0,1,1,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,1,1,0,-1,1,0,1,0,0,0,-1,-1,0,0,0,0,0,1,1,0,1,-1,-1,-1,-1,1,0,-1,-1,-1
"ENSG00000156413",-1,-1,-1,0,1,-1,-1,1,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,1,0,0,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000156463",0,0,-1,0,0,-1,0,0,1,0,0,0,0,0,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,0,0,0,0,-1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,-1,-1,-1,-1,0,0,1,0,-1
"ENSG00000156467",1,1,1,0,0,0,-1,0,-1,1,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,-1,-1,0,1,1,1,1,0,-1,0,-1,1,0,0,0,0,1,1,-1,-1,1,1,-1,0,0,1,0,0,0,0,-1,0,-1
"ENSG00000156471",0,0,1,0,1,1,1,1,-1,0,0,0,-1,1,1,0,0,0,-1,-1,0,-1,-1,1,1,0,1,0,1,1,1,0,-1,0,0,0,0,1,0,0,-1,-1,-1,0,-1,0,0,-1,-1,0,0,0,-1,0,0,0
"ENSG00000156508",0,0,-1,0,1,-1,0,1,0,-1,0,-1,-1,1,1,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,1,-1,0,0,0,-1,-1,-1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"ENSG00000156510",0,-1,-1,0,1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,-1,-1,0,1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000156515",0,1,1,0,0,0,0,0,1,-1,0,0,0,1,1,0,0,-1,-1,0,0,1,1,0,0,0,1,1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,1,1,1,-1,-1,0,1,-1,-1,0,0,-1,-1,0,1,0
"ENSG00000156587",0,0,-1,0,0,-1,-1,1,0,0,0,1,1,1,1,1,1,-1,-1,0,0,0,0,1,1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,1,1,1,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,1
"ENSG00000156599",0,0,1,0,1,-1,-1,1,-1,0,0,0,0,1,1,1,1,-1,-1,0,0,0,0,1,1,1,1,1,-1,0,-1,0,-1,0,-1,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,1,0,-1,0,0,0,1
"ENSG00000156650",0,0,-1,1,0,0,0,0,0,0,0,-1,-1,1,1,-1,-1,0,1,0,0,0,0,1,0,-1,0,0,1,1,0,-1,-1,-1,0,1,-1,-1,0,0,-1,0,0,1,1,1,0,0,0,-1,-1,1,1,0,0,1
"ENSG00000156689",0,0,1,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,0,0,0,0,0,0,1,-1,0,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0,0,-1,-1,0,0,-1,0,1,1,-1
"ENSG00000156795",0,0,-1,1,0,-1,-1,0,1,0,-1,-1,0,1,1,0,0,1,1,0,1,-1,-1,1,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,-1,0,-1,-1,1,1,0,0,1,1,0,0,-1,1,0,0,1
"ENSG00000156873",0,0,0,1,1,1,1,1,0,0,0,0,0,-1,-1,-1,-1,0,-1,1,0,1,0,1,1,1,0,0,-1,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,1,-1,0,0,0,-1,0,0,0,1
"ENSG00000156885",0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-1,-1,0,0,1,1,-1,0,0,1,1,-1,0,0,1,-1,1,-1,-1,0,0,1,1,1,0,0,-1,-1,0,0,-1,-1,0,0,-1,-1,0,1,-1
"ENSG00000156958",0,-1,0,1,1,-1,0,1,0,0,-1,-1,-1,-1,-1,1,0,1,1,-1,0,-1,0,1,1,0,0,-1,1,0,0,0,0,-1,0,0,-1,0,0,1,0,-1,-1,0,1,0,0,0,1,0,0,1,0,0,0,1
"ENSG00000156966",1,0,-1,0,1,-1,-1,1,-1,-1,0,0,0,-1,-1,0,1,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,0,1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,0,0,-1,0,0,0,-1,-1,-1,-1,0,0,0,1
"ENSG00000156973",0,0,-1,0,0,-1,-1,1,0,1,0,0,0,1,1,0,0,-1,1,0,0,0,-1,1,1,0,0,-1,-1,-1,1,1,0,0,0,0,-1,0,-1,1,0,-1,-1,0,1,0,-1,0,0,1,0,0,1,-1,0,1
"ENSG00000156983",0,0,0,1,1,-1,-1,1,1,-1,0,0,0,1,1,0,1,-1,0,1,1,0,0,1,1,0,0,0,-1,0,-1,0,-1,0,-1,-1,0,1,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,1,0,1
"ENSG00000157020",0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,1,0,0,1,-1,1,1,0,0,1,-1,-1,0,0,0,-1,0,-1,0,-1,-1,1,1,-1,-1,0,1,-1,-1,0,1,1
"ENSG00000157045",1,1,-1,0,0,-1,0,1,0,-1,0,1,0,1,1,-1,-1,0,0,-1,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,-1,0,0,0,-1,0,0,1,0,0,1,0,-1,0,-1,-1,1,0,0,0,0,0,1
"ENSG00000157064",0,0,-1,0,0,-1,0,1,0,-1,0,0,0,-1,-1,0,0,-1,0,1,0,-1,0,1,1,0,-1,-1,-1,0,1,-1,-1,-1,-1,0,-1,0,0,-1,0,-1,1,1,0,1,0,0,-1,-1,0,1,0,1,1,1
"ENSG00000157087",1,1,0,0,0,0,0,0,0,-1,1,0,1,0,0,0,0,-1,-1,0,0,1,1,-1,-1,1,0,0,-1,-1,-1,0,0,0,0,0,1,1,1,0,1,0,0,-1,-1,1,1,-1,-1,0,0,0,-1,1,0,-1
"ENSG00000157103",1,1,1,0,0,-1,0,0,0,0,0,0,1,1,1,0,0,-1,-1,0,-1,1,1,0,0,1,1,0,-1,0,1,-1,0,0,0,0,0,0,1,-1,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0,0,-1,1,1
"ENSG00000157184",-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,-1,-1,0,0,0,1,1,1,1,-1,0,0,0,-1,-1,-1,-1,1,1,1,-1,-1,1,0,1,0,0,0,1,0,-1,-1,0,-1,0
"ENSG00000157326",1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,-1,-1,-1,-1,0,0,0,0,1,1,1,1,1,0,1,0,0,-1,0,-1,-1,0,-1,0,0,0,1,1,-1,-1,-1,-1,0,0,0,0,-1,-1,0,0,0
"ENSG00000157349",1,0,0,1,0,-1,0,1,0,1,0,-1,-1,1,1,1,0,-1,0,0,0,0,0,1,1,0,0,0,1,1,-1,-1,-1,-1,0,-1,0,-1,0,0,0,-1,-1,0,0,0,0,0,-1,0,1,-1,0,0,1,1
"ENSG00000157350",0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,1,1,1,1,1,0,0,-1,0,0,1,-1,1,-1,-1,0,0,1,0,0,1,1,-1,-1,1,0,-1,-1,0,-1,-1,-1,1,1,0
"ENSG00000157353",0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,1,1,0,0,-1,-1,0,-1,1,-1,1,-1,-1,1,0,0,-1,0,0,0,-1,-1,0,1,0,-1,0,0,-1,-1,1,0,1
"ENSG00000157399",-1,-1,-1,-1,-1,-1,1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,1,1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
"ENSG00000157426",0,0,-1,0,0,0,0,1,0,1,-1,0,-1,0,0,0,0,1,1,0,-1,-1,-1,0,1,0,-1,0,1,1,-1,0,0,-1,1,1,0,-1,-1,0,-1,-1,-1,0,1,0,0,0,1,0,0,1,1,0,0,1
"ENSG00000157593",0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,-1,-1,1,0,0,0,1,1,1,0,1,-1,0,-1,1,-1,1,-1,-1,0,-1,0,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,-1,1,0,1
"ENSG00000157680",0,0,-1,1,1,-1,0,1,0,-1,0,-1,0,-1,-1,0,0,0,0,-1,0,0,0,1,1,0,-1,-1,1,1,-1,0,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,0,0,-1,0,1,0,0,0,1,0,1,1
"ENSG00000157765",-1,0,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1
"ENSG00000157881",0,1,1,0,0,0,0,0,0,-1,0,0,1,-1,-1,0,0,-1,-1,1,0,1,1,0,0,1,1,0,-1,0,-1,1,0,1,-1,-1,1,0,1,0,0,0,0,-1,-1,1,0,0,-1,0,0,-1,-1,0,1,0
"ENSG00000158006",1,0,0,0,1,0,1,1,-1,-1,0,0,1,0,-1,-1,-1,1,-1,0,0,0,0,1,1,0,1,0,1,-1,-1,-1,-1,0,0,1,0,-1,0,0,0,0,-1,1,-1,-1,0,0,0,0,0,0,0,1,0,1
"ENSG00000158008",1,1,1,0,0,1,1,0,0,0,0,1,1,-1,-1,0,0,-1,-1,1,0,1,1,0,0,0,1,0,-1,0,0,1,-1,0,-1,-1,0,0,0,0,1,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,1,0,-1
"ENSG00000158019",0,0,1,1,0,1,0,1,-1,0,-1,-1,0,-1,-1,-1,-1,1,1,0,0,0,-1,0,0,0,0,-1,0,0,1,-1,-1,0,1,1,-1,0,0,1,0,0,0,0,0,0,-1,1,1,0,-1,1,1,0,0,0
"ENSG00000158022",0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,-1,0,1,0,-1,0,-1,0,0,1,0,0,0,1,1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,0,0,-1
"ENSG00000158079",0,0,0,0,0,1,0,1,0,-1,0,-1,-1,0,1,1,0,0,1,0,0,-1,-1,0,1,1,0,1,1,1,-1,-1,-1,-1,0,0,-1,-1,1,-1,0,0,0,1,0,0,-1,0,1,0,0,0,0,0,-1,1
"ENSG00000158089",0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,1,1,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,0,0,1,1
"ENSG00000158104",-1,0,0,-1,-1,0,0,1,0,-1,0,-1,-1,-1,-1,-1,-1,1,0,1,0,0,-1,0,1,0,-1,-1,-1,-1,-1,1,0,1,1,0,0,0,1,-1,0,1,0,-1,-1,-1,-1,1,0,0,0,-1,-1,0,0,1
"ENSG00000158125",0,-1,-1,-1,0,0,1,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,1,-1,1,1,-1,1,1,1,0,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0,-1
"ENSG00000158296",0,0,0,1,0,-1,-1,1,0,1,1,0,1,-1,-1,0,-1,0,-1,0,-1,1,0,0,0,1,0,-1,1,1,-1,-1,-1,-1,0,0,1,0,0,1,0,-1,0,1,0,-1,0,-1,-1,0,0,-1,0,0,0,1
"ENSG00000158467",0,0,0,0,-1,1,1,-1,1,1,-1,0,1,0,-1,0,-1,1,1,1,0,1,0,-1,0,-1,0,1,-1,-1,0,0,1,0,0,0,0,0,-1,1,0,1,1,0,0,-1,-1,0,0,0,0,0,0,0,-1,-1
"ENSG00000158470",0,0,1,0,0,1,1,-1,-1,0,0,0,0,-1,-1,-1,0,1,1,1,1,-1,0,1,1,0,1,1,-1,0,1,0,0,0,-1,-1,-1,-1,0,-1,0,-1,-1,0,0,0,0,1,0,0,0,0,0,0,0,1
"ENSG00000158516",-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1
"ENSG00000158525",-1,-1,0,1,0,1,1,0,-1,-1,0,0,-1,-1,-1,1,1,-1,0,-1,-1,-1,-1,0,0,-1,-1,-1,-1,1,1,1,-1,0,0,0,0,-1,0,-1,-1,-1,-1,1,0,0,0,0,-1,0,-1,-1,-1,-1,0,1
"ENSG00000158571",1,1,1,0,0,1,1,0,0,-1,0,1,0,-1,-1,0,-1,0,-1,0,0,1,1,1,1,0,0,0,-1,-1,-1,0,-1,0,0,0,0,1,0,0,0,-1,-1,0,0,0,1,-1,-1,0,0,0,0,1,1,-1
"ENSG00000158578",1,1,0,-1,-1,-1,-1,1,0,0,0,-1,-1,-1,-1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,-1,0,-1,-1,0,0,1,0,1,-1,-1,0,0,1,0,1,1,-1,-1,-1,0,0,0,0,0,1
"ENSG00000158623",0,0,0,0,0,-1,0,1,0,1,0,-1,0,1,1,-1,-1,0,0,-1,0,0,-1,1,1,0,-1,-1,1,1,0,1,1,1,0,0,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,-1,0,1,1,0,-1,1
"ENSG00000158669",-1,0,1,1,0,1,1,0,0,0,0,0,0,-1,-1,1,1,-1,-1,1,0,0,-1,1,0,0,0,0,-1,0,0,1,0,1,-1,-1,0,0,0,0,0,0,-1,0,0,0,1,-1,-1,1,0,-1,-1,0,1,1
"ENSG00000158786",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1
