"","x"
"1","N3DMSO"
"2","N2DMSO"
"3","N1DMSO"
"4","N3FK"
"5","N2FK"
"6","N1FK"
"7","N3Met"
"8","N2Met"
"9","N1Met"
"10","N3MetFK"
"11","N2MetFK"
"12","N1MetFK"
