"","x"
"1","X13_1"
"2","X14_2"
"3","X17_2"
"4","X15_2"
"5","X7_2"
"6","X6_2"
"7","X3_1"
"8","X9_2"
"9","X12_1"
"10","X15_1"
"11","X5_1"
"12","X5_2"
"13","X4_1"
"14","X8_2"
"15","X9_1"
"16","X3_2"
"17","X1_2"
"18","X7_1"
"19","X1_1"
"20","X13_2"
"21","X12_2"
"22","X16_2"
"23","X8_1"
"24","X10_2"
"25","X10_1"
"26","X6_1"
"27","X2_1"
"28","X4_2"
"29","X14_1"
"30","X16_1"
"31","X11_2"
"32","X17_1"
"33","X2_2"
"34","X11_1"
