"","x"
"1","P_001_1"
"2","P_008_1"
"3","P_012_1"
"4","P_012_3"
"5","P_013_1"
"6","P_013_3"
"7","P_015_1"
"8","M_018_1"
"9","M_018_3"
"10","P_042_3"
"11","P_048_1"
"12","P_048_3"
"13","M_063_1"
"14","M_063_3"
"15","M_065_1"
"16","M_065_3"
"17","P_080_1"
"18","P_080_3"
"19","P_081_1"
"20","P_081_3"
"21","P_086_1"
"22","P_086_3"
"23","P_102_1"
"24","M_157_1"
"25","M_157_3"
"26","M_159_1"
"27","M_159_3"
"28","P_169_1"
"29","P_198_1"
"30","P_206_1"
"31","M_240_1"
"32","M_240_3"
"33","P_269_3"
"34","P_270_1"
"35","P_284_1"
"36","P_284_3"
"37","M_302_1"
"38","M_302_3"
"39","P_329_1"
"40","M_334_1"
"41","M_334_3"
"42","P_364_1"
"43","M_367_1"
"44","M_392_1"
"45","M_392_3"
"46","P_394_1"
"47","P_394_3"
"48","P_410_1"
"49","P_410_3"
"50","P_412_1"
"51","P_412_3"
"52","P_413_1"
"53","P_413_3"
"54","M_427_1"
"55","M_427_3"
"56","P_450_1"
"57","M_454_1"
"58","M_454_3"
"59","M_460_1"
"60","M_460_3"
"61","P_464_1"
"62","P_464_3"
"63","M_10_1"
"64","M_10_3"
"65","P_11_1"
"66","P_11_3"
"67","P_1_1"
"68","P_12_1"
"69","P_12_3"
"70","M_13_1"
"71","M_13_3"
"72","P_1_3"
"73","M_14_1"
"74","M_14_3"
"75","M_16_3"
"76","P_17_1"
"77","P_17_3"
"78","P_18_1"
"79","P_18_3"
"80","P_19_1"
"81","M_20_1"
"82","M_20_3"
"83","M_21_1"
"84","M_21_3"
"85","M_2_1"
"86","M_22_1"
"87","M_22_3"
"88","P_23_1"
"89","M_24_1"
"90","M_24_3"
"91","M_25_1"
"92","M_25_3"
"93","P_26_1"
"94","P_26_3"
"95","P_27_1"
"96","P_27_3"
"97","P_29_1"
"98","P_29_3"
"99","M_30_1"
"100","M_30_3"
"101","P_31_1"
"102","P_31_3"
"103","M_3_1"
"104","M_33_1"
"105","M_33_3"
"106","M_35_1"
"107","P_36_1"
"108","P_36_3"
"109","P_37_1"
"110","P_37_3"
"111","P_38_1"
"112","P_38_3"
"113","M_41_1"
"114","M_7_1"
"115","M_7_3"
"116","Y_sCMB_101"
"117","Y_sCMB_106"
"118","Y_sCMB_107"
"119","Y_sCMB_112"
"120","Y_sCMB_116"
"121","Y_sCMB_123"
"122","Y_sCMB_18"
"123","Y_sCMB_1"
"124","Y_sCMB_20"
"125","Y_sCMB_24"
"126","Y_sCMB_56"
"127","Y_sCMB_65"
"128","Y_sCMB_71"
"129","Y_sCMB_73"
"130","Y_sCMB_79"
"131","Y_sCMB_82"
"132","Y_sCMB_83"
"133","Y_sCMB_87"
"134","Y_sCMB_90"
"135","Y_sCMB_91"
"136","Y_sCMB_99"
