"","x"
"1","FPKM.MET_0mM_1"
"2","FPKM.MET_0mM_2"
"3","FPKM.MET_0mM_3"
"4","FPKM.MET_20mM_1"
"5","FPKM.MET_20mM_2"
"6","FPKM.MET_20mM_3"
"7","FPKM.MET_40mM_1"
"8","FPKM.MET_40mM_2"
"9","FPKM.MET_40mM_3"
