"","Control1","Control2","Control3","M1","M2","M3"
"Mrpl27",42.253769,34.724552,33.528885,41.508682,49.553055,43.102303
"Npc1",6.673851,7.095723,9.164238,5.993553,6.07494,8.611448
"Il31ra",0,0.002741,0.073422,0.068933,0.047672,0.141194
"Ssr1",16.296079,19.005446,18.190999,18.193082,14.808461,18.685138
"Pcnx2",0.013401,0.05939,0.016882,0.008307,0.044579,0.018674
"Plcxd3",0,0,0,0,0,0
"Olfr1258",0,0,0,0,0,0
"Ch25h",0.254199,0.445704,0.477512,1.460787,0.59976,1.689741
"Cdk5r1",0.163726,0.129436,0.146994,0.13218,0.184596,0.266334
"Zfp710",4.131805,7.049229,4.846962,3.018556,3.725254,3.836681
"Chd8",4.29657,4.73193,6.159953,4.848249,3.645716,4.809117
"Rimkla",0.025338,0.027832,0.024097,0.009256,0.028954,0.032499
"Lipi",0,0,0,0,0,0
"Rasgrp2",8.533937,11.977572,11.664385,13.255625,12.200426,11.339777
"Ucp3",29.347895,27.137136,24.118734,18.706721,40.943188,16.253893
"Rbm11",0.07824,0.212755,0.025233,0.040587,0.048504,0.046024
"NewGene_218",0.119904,0,0,0.084682,0,0
"NewGene_219",1.440876,0.673416,1.54438,1.043773,1.01002,1.635298
"NewGene_212",0.443767,0.22917,0.272063,0.260901,0.267091,0.610318
"NewGene_213",0.647138,0.842801,0.811743,0.652249,0.886124,0.398727
"NewGene_211",0,0,0,0,0.205945,0
"NewGene_216",0,0,0,0,0,0.288703
"NewGene_215",0,0,0.220882,0,0.316331,0
"Golph3l",10.944358,13.155119,12.97271,9.450888,7.406413,10.128225
"Apmap",69.233353,56.520988,52.768475,60.65596,100.873482,67.610718
"Nol12",6.105724,6.982421,6.304118,7.644118,6.898147,8.840882
"Cd200r3",0,0,0,0,0,0
"H2-M10.4",0,0,0,0,0,0
"Fbxo43",0,0.009656,0,0,0,0
"Cdip1",28.282748,26.125228,29.10369,29.441492,35.600413,32.182297
"Hmox2",22.663313,21.588772,27.381435,18.986511,21.608201,22.562646
"Rnf149",12.058187,15.304942,10.763155,10.642515,9.617867,10.299285
"Ovch2",0,0,0,0,0,0
"Gm10401",0,0,0,0,0,0
"1500011B03Rik",3.492166,7.386693,4.766547,7.026733,3.730086,7.953785
"Idh2",149.617164,93.201605,97.770815,66.096209,156.361221,111.794649
"Mesp2",0,0.017771,0,0.040951,0,0.02523
"Mesp1",0.075918,0.081489,0,0,0,0
"Pex11a",18.51445,16.09322,16.127153,22.425217,23.932375,19.453878
"Plin1",275.795238,262.818695,437.251477,418.840346,428.705793,466.878586
"Rhcg",0,0,0,0,0,0
"Cfap97",3.429794,3.418451,3.726795,3.436063,2.119426,2.67836
"Slc25a4",412.529144,328.897705,305.805481,266.543701,549.174683,355.687378
"Anxa10",0,0,0,0,0,0
"Ufsp2",17.912444,16.219671,17.772095,14.178123,14.569774,15.1622
"Lrp2bp",0.548821,1.216659,0.500489,0.691671,0.859591,0.292558
"Pdlim3",55.928898,107.990349,69.999882,68.305265,82.251791,83.554008
"Tlr3",3.418461,5.280679,5.142867,3.470928,3.285537,2.926541
"Gzma",1.070299,2.392737,4.059186,2.031968,1.301082,3.979474
"Rpl23",174.484161,301.452362,176.586626,260.005305,146.167662,170.909532
"Lyl1",2.027429,2.46221,2.113916,3.946146,1.918943,4.455134
